Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,Tackles pg,Shots Against pg,Offsides pg,Interceptions pg,Fouls pg,Shots OT pg,Fouled pg,Dribbles pg,Goals*,xG/Shots,Shots,xG,xGDiff
Manchester City,96,18.2,522,65.4,90.5,8.7,6.97,13.6,7.7,1.1,6.1,7.6,7.3,10.8,9.9,94,0.13,693,87.07,6.93
Arsenal,91,17.3,622,58.4,86.8,13.6,6.87,16.1,8.5,2.3,7.7,10.3,6.0,10.4,7.4,86,0.13,657,84.51,1.49
Liverpool,86,20.8,655,61.3,85.8,15.6,6.86,17.8,10.9,2.6,7.7,12.2,7.3,9.9,8.7,80,0.12,790,93.3,-13.3
Newcastle,85,14.5,771,52.2,82.7,12.0,6.78,17.4,14.1,1.6,7.5,10.2,5.6,12.3,9.3,83,0.15,551,83.98,-0.98
Chelsea,77,14.4,1054,59.0,87.5,11.8,6.74,17.4,14.6,2.2,7.8,11.7,5.7,11.9,10.5,76,0.15,549,80.18,-4.18
Tottenham,74,15.4,894,62.0,87.4,9.7,6.72,19.1,12.8,2.2,9.3,11.2,5.7,13.4,9.4,69,0.13,584,73.15,-4.15
Crystal Palace,57,12.0,692,41.6,79.2,14.8,6.71,20.7,12.1,1.9,8.5,12.0,4.4,11.2,9.0,56,0.12,456,52.65,3.35
West Ham,60,11.8,763,40.5,79.1,15.3,6.7,18.0,17.2,1.9,9.5,10.3,4.1,10.3,9.3,58,0.12,450,54.74,3.26
Manchester United,57,14.5,811,50.4,82.7,11.6,6.69,17.8,17.6,2.4,8.2,10.6,5.1,8.9,8.2,57,0.11,550,61.13,-4.13
Everton,40,13.3,801,40.1,75.6,18.3,6.68,19.6,14.2,2.3,9.4,12.0,4.3,9.5,6.6,40,0.12,507,59.34,-19.34
Aston Villa,76,13.6,942,52.8,85.6,8.9,6.67,14.4,12.0,1.2,6.2,10.8,5.0,12.4,9.1,72,0.13,515,67.52,4.48
Bournemouth,54,14.3,793,44.0,77.1,15.7,6.62,18.2,14.1,1.5,9.4,13.3,4.9,9.9,10.1,52,0.12,542,63.67,-11.67
Wolves,50,11.3,1004,48.6,82.4,11.8,6.61,19.4,15.2,2.1,7.5,12.5,4.2,10.7,10.9,47,0.12,429,52.07,-5.07
Fulham,55,13.2,784,50.3,82.5,13.0,6.61,17.9,13.8,1.3,9.8,10.1,4.7,9.6,7.1,54,0.1,501,52.03,1.97
Brentford,56,12.4,892,44.9,76.6,16.9,6.61,17.8,14.4,1.8,9.9,10.1,4.5,11.0,6.4,54,0.14,473,65.17,-11.17
Nottingham Forest,49,11.9,783,40.1,78.7,15.7,6.57,19.2,13.4,2.0,8.7,11.3,3.9,9.8,7.2,49,0.12,451,52.98,-3.98
Brighton,55,14.8,913,60.2,89.0,10.8,6.57,16.9,12.3,2.2,7.6,10.9,5.5,11.9,7.8,50,0.11,561,63.05,-13.05
Luton,52,11.4,710,41.8,76.1,17.0,6.54,17.2,17.4,1.8,8.6,11.7,3.7,11.8,9.3,49,0.11,432,48.21,0.79
Burnley,41,11.4,717,46.9,79.5,15.2,6.47,16.0,16.2,2.0,7.4,11.3,3.7,9.3,7.9,40,0.1,433,43.0,-3.0
Sheffield United,35,9.6,955,35.0,72.3,15.9,6.36,18.7,17.8,1.7,9.1,11.1,3.4,8.4,6.6,31,0.12,365,42.54,-11.54
