Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
Liverpool,20.8,7.3,8.7,9.9,6.86
Manchester City,18.2,7.3,9.9,10.8,6.97
Arsenal,17.3,6,7.4,10.4,6.87
Tottenham,15.4,5.7,9.4,13.4,6.72
Brighton,14.8,5.5,7.8,11.9,6.57
Newcastle,14.5,5.6,9.3,12.3,6.78
Manchester United,14.5,5.1,8.2,8.9,6.69
Chelsea,14.4,5.7,10.5,11.9,6.74
Bournemouth,14.3,4.9,10.1,9.9,6.62
Aston Villa,13.6,5,9.1,12.4,6.67
Everton,13.3,4.3,6.6,9.5,6.68
Fulham,13.2,4.7,7.1,9.6,6.61
Brentford,12.4,4.5,6.4,11,6.61
Crystal Palace,12,4.4,9,11.2,6.71
Nottingham Forest,11.9,3.9,7.2,9.8,6.57
West Ham,11.8,4.1,9.3,10.3,6.70
Burnley,11.4,3.7,7.9,9.3,6.47
Luton,11.4,3.7,9.3,11.8,6.54
Wolves,11.3,4.2,10.9,10.7,6.61
Sheffield United,9.6,3.4,6.6,8.4,6.36
